testCaseId,db_connection_details,db_tables
SONP-32625_ScheduleRetAndVerifyProposedChange,kpi_service_db;kpi_service_user;32110;eric-pm-kpi-calculator,kpi_cell_guid_1440;kpi_cell_guid_60;kpi_relation_guid_source_guid_target_guid_1440;kpi_relation_guid_source_guid_target_guid_60;kpi_cell_sector;kpi_cell_sector_1440;kpi_sector;complex_kpi_with_thresholds;kpi_definition;kpi_calculation;kpi_cell_sector_60;kpi_sector_60
SONP-32625_ScheduleRetAndVerifyProposedChange,pm_events_service_db;pm_events_service_user;32107;eric-pm-events-processor-er,synthetic_counters_cell;synthetic_counters_relation;cell;eci_to_guid;pm_events_details;relation;source_cell_guid_target_cell_guid_to_relation_guid;source_eci_target_pci_to_target_eci
SONP-32625_ScheduleRetAndVerifyProposedChange,pm_stats_service_db;pm_stats_service_user;32106;eric-pm-stats-processor-er,counters_cell;counters_relation;pm_stats_details;spark_counters;spark_paths
SONP-32625_ScheduleRetAndVerifyProposedChange,cm_service_db;cm_service_user;32105;eric-cm-topology-model-sn,cell;cell_ret;ret;node;cell_sector;cell_trxpoint;cell_sectorcarrier;change_element;cm_logical_hierarchy_scheduler;collections;intermediate_table_for_sites;node;node_cell;relation;sector;sectorcarrier;site;trxpoint;idlemodeprioatrelease;cell_idlemodeprioatrelease;node_idlemodeprioatrelease;eutranfrequency;node_eutranfrequency;idlemodeprioatrelease_eutranfrequency
SONP-32625_ScheduleRetAndVerifyProposedChange,oss_repository_service_db;oss_repository_service_user;32109;eric-nm-repository,oss
SONP-32625_ScheduleRetAndVerifyProposedChange,ret_service_db;ret_service_user;32108;eric-ret-algorithm,cell_excluded;ret_executions
SONP-37570_VerifyFlmSuccessfulInstallation,kpi_service_db;kpi_service_user;32110;eric-pm-kpi-calculator,kpi_cell_guid_1440;kpi_cell_guid_60;kpi_cell_guid_flm_60;kpi_relation_guid_source_guid_target_guid_1440;kpi_relation_guid_source_guid_target_guid_60;kpi_cell_sector;kpi_cell_sector_1440;kpi_sector;complex_kpi_with_thresholds;kpi_definition;kpi_cell_sector_60;kpi_sector_60;kpi_sector_1440
SONP-37570_VerifyFlmSuccessfulInstallation,flm_service_db;flm_service_user;32111;eric-son-frequency-layer-manager,flm_optimizations;flm_executions
SONP-37570_VerifyFlmSuccessfulInstallation,pm_events_service_db;pm_events_service_user;32107;eric-pm-events-processor-er,synthetic_counters_cell;synthetic_counters_relation;cell;eci_to_guid;pm_events_details;relation;source_cell_guid_target_cell_guid_to_relation_guid;source_eci_target_pci_to_target_eci
SONP-37570_VerifyFlmSuccessfulInstallation,pm_stats_service_db;pm_stats_service_user;32106;eric-pm-stats-processor-er,counters_cell;counters_relation;pm_stats_details;spark_counters;spark_paths
SONP-37570_VerifyFlmSuccessfulInstallation,cm_service_db;cm_service_user;32105;eric-cm-topology-model-sn,cell;cell_ret;ret;node;cell_sector;cell_trxpoint;cell_sectorcarrier;change_element;cm_logical_hierarchy_scheduler;collections;intermediate_table_for_sites;node;node_cell;relation;sector;sectorcarrier;site;trxpoint;idlemodeprioatrelease;cell_idlemodeprioatrelease;node_idlemodeprioatrelease;eutranfrequency;node_eutranfrequency;idlemodeprioatrelease_eutranfrequency
SONP-37570_VerifyFlmSuccessfulInstallation,oss_repository_service_db;oss_repository_service_user;32109;eric-nm-repository,oss
SONP-37761_VerifyCommon,kpi_service_db;kpi_service_user;32110;eric-pm-kpi-calculator,kpi_cell_guid_1440;kpi_cell_guid_60;kpi_relation_guid_source_guid_target_guid_1440;kpi_relation_guid_source_guid_target_guid_60;kpi_cell_sector;kpi_cell_sector_1440;kpi_sector;complex_kpi_with_thresholds;kpi_definition;kpi_calculation;counter_definition;kpi_cell_sector_60;kpi_sector_60
SONP-37761_VerifyCommon,pm_events_service_db;pm_events_service_user;32107;eric-pm-events-processor-er,synthetic_counters_cell;synthetic_counters_relation;cell;eci_to_guid;pm_events_details;relation;source_cell_guid_target_cell_guid_to_relation_guid;source_eci_target_pci_to_target_eci
SONP-37761_VerifyCommon,pm_stats_service_db;pm_stats_service_user;32106;eric-pm-stats-processor-er,counters_cell;counters_relation;pm_stats_details;spark_counters;spark_paths
SONP-37761_VerifyCommon,cm_service_db;cm_service_user;32105;eric-cm-topology-model-sn,cell;cell_ret;ret;node;cell_sector;cell_trxpoint;cell_sectorcarrier;change_element;cm_logical_hierarchy_scheduler;collections;intermediate_table_for_sites;node;node_cell;relation;sector;sectorcarrier;site;trxpoint;idlemodeprioatrelease;cell_idlemodeprioatrelease;node_idlemodeprioatrelease;eutranfrequency;node_eutranfrequency;idlemodeprioatrelease_eutranfrequency
SONP-37761_VerifyCommon,oss_repository_service_db;oss_repository_service_user;32109;eric-nm-repository,oss
IDUN-7785_VerifyRet5G,kpi_service_db;kpi_service_user;32110;eric-pm-kpi-calculator,kpi_cell_guid_1440;kpi_cell_guid_60;kpi_relation_guid_source_guid_target_guid_1440;kpi_relation_guid_source_guid_target_guid_60;kpi_cell_sector;kpi_cell_sector_1440;kpi_sector;complex_kpi_with_thresholds;kpi_definition;kpi_calculation;kpi_cell_sector_60;kpi_sector_60;counter_definition
IDUN-7785_VerifyRet5G,pm_events_service_db;pm_events_service_user;32107;eric-pm-events-processor-er,synthetic_counters_cell;synthetic_counters_relation;cell;eci_to_guid;pm_events_details;relation;source_cell_guid_target_cell_guid_to_relation_guid;source_eci_target_pci_to_target_eci
IDUN-7785_VerifyRet5G,pm_stats_service_db;pm_stats_service_user;32106;eric-pm-stats-processor-er,counters_cell;counters_relation;pm_stats_details;spark_counters;spark_paths
IDUN-7785_VerifyRet5G,cm_service_db;cm_service_user;32105;eric-cm-topology-model-sn,nr_cell;nr_relation;nr_trxpoint;nr_site;nr_sector;nr_cell_nr_trxpoint;cm_logical_hierarchy_scheduler;collections;intermediate_table_for_sites;
IDUN-7785_VerifyRet5G,oss_repository_service_db;oss_repository_service_user;32109;eric-nm-repository,oss
IDUN-7785_VerifyRet5G,ret_service_db;ret_service_user;32112;eric-ret-algorithm-5g-poc,cell_excluded;ret_executions
IDUN-10534_VerifyAas,kpi_service_db;kpi_service_user;32110;eric-pm-kpi-calculator,kpi_cell_guid_4g_1440;kpi_cell_guid_5g_1440;kpi_definition
IDUN-10534_VerifyAas,pm_stats_service_db;pm_stats_service_user;32106;eric-pm-stats-processor-er,counters_cell;counters_cell_5g;counters_relation;pm_stats_details;spark_counters;spark_paths
IDUN-10534_VerifyAas,pm_events_service_db;pm_events_service_user;32107;eric-pm-events-processor-er,synthetic_counters_cell_5g;synthetic_counters_relation_5g;pm_events_details
IDUN-10534_VerifyAas,cm_service_db;cm_service_user;32105;eric-cm-topology-model-sn,cell;nr_cell;cell_ret;ret;node;cell_sector;cell_trxpoint;cell_sectorcarrier;change_element;cm_logical_hierarchy_scheduler;collections;intermediate_table_for_sites;node;node_cell;relation;nr_relation;sector;sectorcarrier;site;trxpoint;idlemodeprioatrelease;cell_idlemodeprioatrelease;node_idlemodeprioatrelease;eutranfrequency;node_eutranfrequency;idlemodeprioatrelease_eutranfrequency
IDUN-10534_VerifyAas,oss_repository_service_db;oss_repository_service_user;32109;eric-nm-repository,oss
IDUN-12526_ExecuteAas,cm_service_db;cm_service_user;32105;eric-cm-topology-model-sn,cell;nr_cell;cell_ret;ret;node;cell_sector;cell_trxpoint;cell_sectorcarrier;change_element;cm_logical_hierarchy_scheduler;collections;intermediate_table_for_sites;node;node_cell;relation;nr_relation;sector;sectorcarrier;site;trxpoint;idlemodeprioatrelease;cell_idlemodeprioatrelease;node_idlemodeprioatrelease;eutranfrequency;node_eutranfrequency;idlemodeprioatrelease_eutranfrequency
IDUN-12526_ExecuteAas,pm_stats_service_db;pm_stats_service_user;32106;eric-pm-stats-processor-er,pm_stats_details;spark_paths
IDUN-12526_ExecuteAas,pm_events_service_db;pm_events_service_user;32107;eric-pm-events-processor-er,pm_events_details
VerifyCommon_Cm_Collections,cm_service_db;cm_service_user;32105;eric-cm-topology-model-sn,collections
